model,r2_score,mse,rmse,mae
RandomForestRegressor,0.9298091319272784,0.04885345522564408,0.22102817744722975,0.17471868042644267
BaggingRegressor,0.9240036436740859,0.05289412558957946,0.22998722918801265,0.18342558345429638
BaggingClassifier,0.9215268933907927,0.05461796534811624,0.2337048680453966,0.18182475800011355
Lasso,0.9209011267559625,0.05505350437357329,0.23463483196996412,0.21001201034546477
ElasticNet,0.9208958748258893,0.05505715976262499,0.23464262136838013,0.2097538907073685
Pipeline,0.9194265746097428,0.05607980550406491,0.23681175119504713,0.2061663524611411
GradientBoostingClassifier,0.9186310701810377,0.0566334835117123,0.23797790551165102,0.1945098762727956
HistGradientBoostingClassifier,0.9175039693224716,0.05741795552125776,0.23962044053306003,0.19190331175301303
HistGradientBoostingRegressor,0.9171060770839075,0.05769489198315165,0.24019761027777034,0.19157250784324908
DecisionTreeClassifier,0.9170888268904054,0.057706898268000774,0.24022260149286698,0.19154186278704896
DecisionTreeRegressor,0.9170888268904054,0.05770689826800076,0.24022260149286695,0.1915418627870489
Ridge,0.9164749407074385,0.05813416839553562,0.2411102826416485,0.21675745605924276
GradientBoostingRegressor,0.9141661832754869,0.05974108366707581,0.24441989212638937,0.19520326082604303
AdaBoostRegressor,0.900619447578707,0.06916972964322478,0.2630013871507616,0.2121618577333577
LinearRegression,0.8966260364700636,0.0719491785395054,0.26823344038263647,0.24312759390481917
LogisticRegression,0.8866543300907838,0.07888957298823486,0.2808728769180728,0.23243393133979792
SVR,0.7738543523715807,0.1573993394616938,0.39673585603231504,0.3453316101666985
KNeighborsRegressor,0.7239841311927951,0.19210944754764303,0.4383029175668844,0.31907716445585504
KNeighborsClassifier,0.7239841311927951,0.19210944754764303,0.4383029175668844,0.319077164455855
SVC,0.7093804049682613,0.20227376813274633,0.4497485610124243,0.40425385318808565
RandomForestClassifier,0.6698360174085173,0.22979700612823506,0.47937146987303597,0.3674250212607801
MLPClassifier,-0.3100618062370559,0.9118144218920311,0.954889743317013,0.83180718828166
MLPRegressor,-15.444128055780212,11.44525628128006,3.383083841893378,2.3702878962052774
