model,r2_score,mse,rmse,mae
LinearRegression,0.8199420796381707,0.07227897478004194,0.26884749353498155,0.19852056166056045
ExtraTreesRegressor,0.32226786383649275,0.2720557022926199,0.5215895918177623,0.35170509054127513
RandomForestRegressor,-0.2926292885132942,0.5188881419747992,0.7203389077196921,0.5531999818330943
GradientBoostingRegressor,-0.2949138354160519,0.5198052063707248,0.7209751773609996,0.5544392103998239
LogisticRegression,-1.6705933410731193,1.0720314238844901,1.0353895034645126,0.9402879091143446
MLPClassifier,-1.686855318417925,1.078559318064412,1.038537104808688,0.8977289770691306
GradientBoostingClassifier,-3.0357573450896176,1.6200365014653335,1.2728065451848265,1.1743043202250665
RandomForestClassifier,-3.381546754594094,1.7588435251083658,1.3262139816441258,1.1548417665151007
DecisionTreeClassifier,-3.3843306622317524,1.759961043235466,1.3266352336778433,1.1544376793566622
Pipeline,-10.981302726214448,4.809542817332714,2.1930669887927987,1.2373444463091856
