model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.7981471701127173,0.10232126396906405,0.31987695129387494,0.19788257029265907
RandomForestRegressor,0.7366401471917043,0.13349980296584996,0.36537624849714845,0.22513220922206797
GradientBoostingRegressor,0.7334662893787893,0.1351086639526239,0.3675713045826944,0.23188860127475594
Pipeline,0.1958917220634384,0.40761071030017876,0.6384439758508015,0.4566104576112027
LinearRegression,0.034814200978771526,0.4892625531977505,0.6994730539468625,0.5340542055796164
MLPClassifier,-1.019408694063837,1.023658921017421,1.0117603080855766,0.9657034498084109
RandomForestClassifier,-1.243834196070082,1.1374225033511138,1.0665001187768868,1.0141213003911962
LogisticRegression,-1.4088789898265466,1.2210853973422715,1.1050273287762034,1.0527395481074573
DecisionTreeClassifier,-1.4472715455616942,1.2405469765136743,1.1137984451926992,1.0528180995665009
GradientBoostingClassifier,-1.4576316468252264,1.245798617804629,1.1161534920451708,1.0850095401304072
