model,r2_score,mse,rmse,mae
Pipeline,0.9756656991642675,0.021449815265408727,0.14645755448391432,0.11947813815263564
BaggingClassifier,0.9671747901470108,0.028934247675651267,0.1701006986336366,0.12071594082132359
DecisionTreeClassifier,0.9646510029261206,0.031158875784867514,0.1765187689308633,0.12760123514696697
DecisionTreeRegressor,0.9646510029261206,0.0311588757848675,0.17651876893086327,0.1276012351469669
HistGradientBoostingRegressor,0.9637489780376765,0.03195397844068395,0.17875675774829872,0.13009355134010686
GradientBoostingRegressor,0.9624723097787616,0.033079315819135424,0.1818771998331166,0.13471972874811486
BaggingRegressor,0.9622878758185174,0.03324188775422466,0.18232357980860472,0.13505966304134437
RandomForestRegressor,0.9615571546836628,0.0338859922821898,0.18408148272487868,0.1360835288796262
AdaBoostRegressor,0.9541098282278563,0.04045054401419076,0.20112320605586706,0.16309756668086828
HistGradientBoostingClassifier,0.9477496454454616,0.04605681750680217,0.21460852151487875,0.15179831777114114
GradientBoostingClassifier,0.9420947159453568,0.051041435471993316,0.2259235168635468,0.15242918649641407
LogisticRegression,0.939059806538369,0.05371659949526162,0.23176841781239657,0.20265947011693125
Lasso,0.9095613953248559,0.07971839323588167,0.28234445848268686,0.2264762613039193
ElasticNet,0.9095563546647069,0.07972283639739852,0.2823523267079599,0.22626382332709122
Ridge,0.9095478516499098,0.07973033150062045,0.2823655990035267,0.22600906817810684
LinearRegression,0.9095461371460604,0.07973184277440187,0.2823682750848648,0.2260004286525572
RandomForestClassifier,0.8686981538756468,0.11573787808355243,0.3402027014642189,0.2620878286101337
SVC,0.6046646258315381,0.34847398333067725,0.5903168499464311,0.515158050434746
KNeighborsClassifier,0.5577239548576273,0.38985050479400335,0.6243800964108348,0.4432877970606629
KNeighborsRegressor,0.5577239548576272,0.3898505047940034,0.6243800964108348,0.4432877970606629
SVR,0.5412073716414822,0.40440928177278707,0.6359318216387564,0.5645216994780601
MLPRegressor,0.34969583411554295,0.5732198479302401,0.757112836986826,0.602824216335466
MLPClassifier,-0.42589518950181815,1.2568755769525797,1.1211046235532969,0.8624578974127397
